_id,ApprovedSubmissionValue
920950a5-411a-4d98-99c9-34845cbf0121,8/509
5307bb45-8e8e-47a6-92b6-9e416dbfc46a,1403-2-30
88972455-85b1-4195-a39c-a4b4666a8558,160299392
64858171-ea45-41fa-abbe-48b72ef09524,1389-6-21
c0f464f7-855f-4be5-8740-0f15dff78c1f,امين
a4efa19e-2ad1-4347-adf5-ce785c8f37e6,2351
2a8da7f3-6b5f-4a43-9a92-ec66b37098f6,923
f1a6ff03-d291-4a65-88e6-47a145e2b767,اربعمائه
32751391-a1a7-4521-a02b-a94fdc4cab24,1403-6-13
cbf4def0-0f36-4a01-b256-4a1f6b40d610,3512
081419fc-78bf-4ab5-bf05-d20fcafb3957,1403-0-0
e742376c-329c-497b-9ac8-1672fd50dab8,101960
bb49f3e3-f4c6-4f1f-82a1-05045452a87e,0-6-4
d18ff6f0-71d0-44b9-a69e-3ce543f09e67,2800
99816d13-2399-445e-aeaf-3987ee27aa32,1414-0-0
47cb77da-7fef-421c-9730-ec8b74333894,34916
190e4f15-899c-48ac-9e0d-2048152815dc,1405-4-29
8868b1d3-f5a5-45dc-8d09-06d1904fa7f4,1415-11-18
d3881189-9d6b-44db-88de-6607128c9cb0,1117
95a0f447-bbde-4efc-a840-05a6aa08adaa,83187
e5c056aa-b4aa-4f94-a138-d31043d9ec42,1400-8-24
1614d205-7445-46df-9130-90123694f84b,1416-8-29
7af6321a-ddcf-46fb-87a0-2ebd69e38082,1339
9c71a189-e47b-4579-8736-cbe640839ea0,1406-0-0
1e7a3758-c069-4335-8ae6-9976f7f4d543,16492
1fc34d14-70a3-4750-8a61-748c4a5027bc,1398-7-12
bfc2dac3-ee4f-4cf6-9b28-2220a9cabada,2/3146
ae03a7ee-45d6-44ae-a6d4-1668400f4554,1417-5-17
0753ab30-2363-4f07-8c98-5842edf1319c,محمد عبدالله ال شينان الأحمري
96fce5a0-57c9-49aa-b9e8-32f9d385c570,7/510
57076e87-5f87-4645-bca0-b5569eed7b3b,1403-2-30
6c3b9320-a26d-4a77-9473-5dc9479f78e4,106009
05be6000-c868-44e7-ad1d-b425f47ce208,1391-6-27
52118989-02ee-4bdd-89ee-7112e81b4135,لأمين
8c4a8c02-3966-45e4-ad83-99f8eb0f9d5f,2351
716838cd-af98-401f-b7de-4e6ffdb02787,920
9a995dce-075a-4650-87d6-ab042b32c852,اربعمائه
9765f108-ad12-4de1-b56b-67377beb3434,1607
34a8e55d-8072-424a-a81f-f1eedc857bdd,4767
c82148e2-22ac-4720-838c-75df27dc8f41,1378-8-7
4985e393-dfe1-43ae-8f4a-573df71ee660,8/511
02b40b7e-3c99-4ea8-978f-dfc46bd0a751,1403-3-3
d01abb7d-d624-4a48-ac49-24ae76e0dd6f,369/2233
cee628f1-5476-4223-9835-84449f7facde,1380-1-15
b068f2ff-63a5-4956-b57a-4d26feb6f010,الامين
fad64676-4447-4dbd-af7c-c4104f1cfe03,2351
897a0cc0-31c0-4bf3-9a77-462a59d04a6b,835
c8cb7c0e-702f-43a0-8515-61100b7fd676,تسعمائة
2bd5e7f2-930e-4b4d-8fd8-86b5c06b3bb7,1408-9-14
390886ea-2a0d-48c5-911b-676c43ff78b4,17/15478
ba02b6ce-3086-48da-a1c2-5932c43c3801,1418-0-0
c4448099-665f-4975-8318-224cf0a0a8c5,1013798549
